id,rate_unemployment,percent_college,percent_married,median_income,average_act,percent_lunch,year,L_id,state,zip_code,school_type,school_level,charter,PerPupil_Total_Expenditure,PerPupil_Salary_Expenditure,PerPupil_Benefits_Expenditure,PerInstructor_Total_Expenditure,PerInstructor_Salary,PerInstructor_Benefits,PerPupil_StudentSupport_Expenditure
291224000487,0.0826552462526767,0.524437548487199,0.872740419378163,45017.0,20.9,0.574572127139364,2016-2017,2912240,MO,65653,Regular School,High,No,9574.0,5823.0,1761.0,5595.0,3763.0,1092.0,298.0
291229000496,0.0684326710816777,0.559075071270193,0.867558528428094,67989.0,21.0,0.404554588077696,2016-2017,2912290,MO,64058,Regular School,High,No,11096.0,7270.0,2258.0,6712.0,4772.0,1471.0,646.0
291230000506,0.127068873465029,0.482004555808656,0.510579576816927,47959.0,22.2,0.291806958473625,2016-2017,2912300,MO,63010,Regular School,High,No,9711.0,6648.0,1829.0,6691.0,4842.0,1330.0,280.0
291230001981,0.0685920577617329,0.536338028169014,0.625882352941176,59090.0,23.0,0.203003337041157,2016-2017,2912300,MO,63052,Regular School,High,No,9711.0,6648.0,1829.0,6691.0,4842.0,1330.0,280.0
291254000516,0.159223300970874,0.494905956112853,0.538893344025662,35299.0,21.2,0.5033568723983909,2016-2017,2912540,MO,63645,Regular School,High,No,8505.0,5269.0,1676.0,5574.0,3723.0,1191.0,327.0
291255000524,0.121825542878174,0.474322239365219,0.661135371179039,41089.0,20.6,0.37620578778135,2016-2017,2912550,MO,65251,Regular School,High,No,8418.0,5378.0,1636.0,4782.0,3343.0,1067.0,519.0
291260000526,0.182608695652174,0.417467948717949,0.566905005107252,31267.0,20.6,0.548701298701299,2016-2017,2912600,MO,65655,Regular School,High,No,9651.0,5925.0,1858.0,6052.0,4048.0,1231.0,445.0
291263000528,0.0921942224953903,0.361516034985423,0.732777777777778,41688.0,20.6,0.557446808510638,2016-2017,2912630,MO,65656,Regular School,High,No,10958.0,6337.0,1682.0,6077.0,4164.0,1071.0,326.0
291266000530,0.0625312656328164,0.467613873798579,0.766901408450704,40978.0,23.4,0.342465753424658,2016-2017,2912660,MO,64640,Regular School,High,No,9336.0,5705.0,1592.0,5622.0,3713.0,1066.0,258.0
291308000546,0.0342242503259452,0.626764886433395,0.594709494567785,63377.0,21.8,0.182174338883448,2016-2017,2913080,MO,64029,Regular School,High,No,9159.0,5947.0,2002.0,5623.0,3981.0,1170.0,331.0
291314000556,0.145747126436782,0.62876254180602,0.608465608465608,37823.0,18.3,0.635181975736568,2016-2017,2913140,MO,64030,Regular School,High,No,11167.0,6859.0,2407.0,6433.0,4462.0,1557.0,483.0
291317002285,0.164862914862915,0.455545902114104,0.575732899022801,47585.0,20.3,0.347432024169184,2016-2017,2913170,MO,63050,Regular School,High,No,11673.0,6299.0,2179.0,6153.0,3737.0,1323.0,545.0
291329000564,0.0649281532730176,0.522598870056497,0.78150406504065,44526.0,21.6,0.435754189944134,2016-2017,2913290,MO,65332,Regular School,High,No,8997.0,5472.0,1707.0,5224.0,3504.0,1067.0,288.0
291338000569,0.120149253731343,0.451776649746193,0.763297872340426,38302.0,18.8,0.526570048309179,2016-2017,2913380,MO,63944,Regular School,High,No,8574.0,5127.0,1527.0,4885.0,3352.0,1025.0,250.0
291356000578,0.0476078799249531,0.589683718955636,0.654045643153527,58640.0,21.4,0.26509186351706,2016-2017,2913560,MO,65255,Regular School,High,No,7941.0,4597.0,1338.0,4786.0,3324.0,961.0,381.0
